input_id,ok,status_code,api_latency_ms,client_elapsed_ms,mode,reference_baseline_cost_usd,an1_cost_usd,savings_usd,error
input_001,False,404,,395.61,baseline_only,,,,404 Client Error: Not Found for url: https://yourdomain.vercel.app/api/an1-turbo
input_002,False,404,,30.76,baseline_only,,,,404 Client Error: Not Found for url: https://yourdomain.vercel.app/api/an1-turbo
input_003,False,404,,29.59,baseline_only,,,,404 Client Error: Not Found for url: https://yourdomain.vercel.app/api/an1-turbo
input_004,False,404,,27.07,baseline_only,,,,404 Client Error: Not Found for url: https://yourdomain.vercel.app/api/an1-turbo
input_005,False,404,,26.1,baseline_only,,,,404 Client Error: Not Found for url: https://yourdomain.vercel.app/api/an1-turbo
input_006,False,404,,21.07,baseline_only,,,,404 Client Error: Not Found for url: https://yourdomain.vercel.app/api/an1-turbo
input_007,False,404,,32.66,baseline_only,,,,404 Client Error: Not Found for url: https://yourdomain.vercel.app/api/an1-turbo
input_008,False,404,,23.68,baseline_only,,,,404 Client Error: Not Found for url: https://yourdomain.vercel.app/api/an1-turbo
input_009,False,404,,22.09,baseline_only,,,,404 Client Error: Not Found for url: https://yourdomain.vercel.app/api/an1-turbo
input_010,False,404,,26.61,baseline_only,,,,404 Client Error: Not Found for url: https://yourdomain.vercel.app/api/an1-turbo
input_011,False,404,,24.08,baseline_only,,,,404 Client Error: Not Found for url: https://yourdomain.vercel.app/api/an1-turbo
input_012,False,404,,20.15,baseline_only,,,,404 Client Error: Not Found for url: https://yourdomain.vercel.app/api/an1-turbo
input_013,False,404,,26.14,baseline_only,,,,404 Client Error: Not Found for url: https://yourdomain.vercel.app/api/an1-turbo
input_014,False,404,,22.53,baseline_only,,,,404 Client Error: Not Found for url: https://yourdomain.vercel.app/api/an1-turbo
input_015,False,404,,24.0,baseline_only,,,,404 Client Error: Not Found for url: https://yourdomain.vercel.app/api/an1-turbo
input_016,False,404,,21.56,baseline_only,,,,404 Client Error: Not Found for url: https://yourdomain.vercel.app/api/an1-turbo
input_017,False,404,,29.05,baseline_only,,,,404 Client Error: Not Found for url: https://yourdomain.vercel.app/api/an1-turbo
input_018,False,404,,30.06,baseline_only,,,,404 Client Error: Not Found for url: https://yourdomain.vercel.app/api/an1-turbo
input_019,False,404,,22.0,baseline_only,,,,404 Client Error: Not Found for url: https://yourdomain.vercel.app/api/an1-turbo
input_020,False,404,,24.0,baseline_only,,,,404 Client Error: Not Found for url: https://yourdomain.vercel.app/api/an1-turbo
